PLANT_ID,LIBRARY,GENETIC_SUBPOP_KINSHIP,SUBPOP,ECOTYPE_NNET,PLOIDY,COLLECTION_TYPE,COLLECTION_METHOD,COLLECTOR,STATE,COUNTY,LATITUDE,LONGITUDE,ELEVATION,NOTE_LATLONG,LOCALITY,TAXON,HABITAT,COLL_DATE,PLANTED_2018
J001.A,IHWG,Atlantic,Atlantic,Lowland,4X,Natural Collection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Florida,Hernado,28.57,-82.38,26,"NA",FL,Panicum virgatum,"NA",NA,Y
J001.B,IHXA,Gulf,Gulf,Coastal,4X,Natural Collection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Florida,Hernado,28.57,-82.38,26,"NA",FL,Panicum virgatum,"NA",NA,Y
J003.B,IHXT,Atlantic,Atlantic,Coastal,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,North Carolina,Richmond,35.029935,-79.547826,128,"NA","Hoffman, NC",Panicum virgatum,"NA",NA,Y
J004.B,IHWK,Gulf,Gulf,Lowland,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Kansas,Ellsworth,38.736583,-98.22838,480,"NA",Ellsworth,Panicum virgatum,"NA",1956-01-01,Y
J005.A,IEKZ,Gulf,Gulf,Lowland,4X,Breeding Selection,Grown from GRIN Seed Packet In Austin,T. Juenger,Mississippi,Yalobusha,33.9764,-89.683105,97,"NA","Plant Materials Center, Soil Conservation Service, Coffeeville, MS",Panicum virgatum,"NA",NA,Y
J005.B,IHXE,Gulf,Gulf,Coastal,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Mississippi,Yalobusha,33.9764,-89.683105,97,"NA","Plant Materials Center, Soil Conservation Service, Coffeeville, MS",Panicum virgatum,"NA",NA,Y
J005.D,IHXP,Gulf,Gulf,Coastal,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Mississippi,Yalobusha,33.9764,-89.683105,97,"NA","Plant Materials Center, Soil Conservation Service, Coffeeville, MS",Panicum virgatum,"NA",NA,Y
J006.A,IELA,Atlantic,Atlantic,Upland,4X,Breeding Selection,Grown from GRIN Seed Packet In Austin,T. Juenger,North Carolina,Wake,35.732678,-78.851233,151,"NA","Apex, NC, through Soil Conservation Service Nursery, Chapel Hill, NC",Panicum virgatum,"NA",NA,Y
J006.B,IHYI,Atlantic,Atlantic,Upland,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,North Carolina,Wake,35.732678,-78.851233,151,"NA","Apex, NC, through Soil Conservation Service Nursery, Chapel Hill, NC",Panicum virgatum,"NA",NA,Y
J006.C,IHZC,Atlantic,Atlantic,Coastal,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,North Carolina,Wake,35.732678,-78.851233,151,"NA","Apex, NC, through Soil Conservation Service Nursery, Chapel Hill, NC",Panicum virgatum,"NA",NA,Y
J008.A,IELB,Gulf,Gulf,Lowland,4X,Breeding Selection,Grown from GRIN Seed Packet In Austin,T. Juenger,Arkansas,White,35.426617,-91.839435,102,"NA","Soil Conservation Service, Pangburn, AR",Panicum virgatum,"NA",NA,Y
J008.B,IHZW,Gulf,Gulf,Lowland,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Arkansas,White,35.426617,-91.839435,102,"NA","Soil Conservation Service, Pangburn, AR",Panicum virgatum,"NA",NA,Y
J008.D,IHXC,Gulf,Gulf,Lowland,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Arkansas,White,35.426617,-91.839435,102,"NA","Soil Conservation Service, Pangburn, AR",Panicum virgatum,"NA",NA,Y
J013.A,IELC,Gulf,Gulf,Coastal,4X,Breeding Selection,Grown from GRIN Seed Packet In Austin,T. Juenger,Kansas,Saline,38.824832,-97.625651,NA,GPS estimated using passport data,Soil Conservation Service,Panicum virgatum,"NA",1976-11-26,Y
J013.B,IHZT,Gulf,Gulf,Unknown,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Kansas,Saline,38.5111,-96.8005,NA,GPS estimated using passport data,Soil Conservation Service,Panicum virgatum,"NA",1976-11-26,Y
J013.C,IHWM,Gulf,Gulf,Lowland,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Kansas,Saline,38.5111,-96.8005,NA,GPS estimated using passport data,Soil Conservation Service,Panicum virgatum,"NA",1976-11-26,Y
J016.A,IELD,Gulf,Gulf,Lowland,4X,Cultivar,Grown from GRIN Seed Packet In Austin,T. Juenger,Oklahoma,Huges,35.26,-96.18,250,Developed by KSU,Kanlow: Near Wetumka,Panicum virgatum,"NA",1957-01-01,Y
J016.B,IHWY,Gulf,Gulf,Lowland,4X,Cultivar,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Oklahoma,Huges,35.26,-96.18,250,Developed by KSU,Kanlow: Near Wetumka,Panicum virgatum,"NA",1957-01-01,Y
J016.C,IHXR,Gulf,Gulf,Lowland,4X,Cultivar,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Oklahoma,Huges,35.26,-96.18,250,Developed by KSU,Kanlow: Near Wetumka,Panicum virgatum,"NA",1957-01-01,Y
J016.D,IHYK,Gulf,Gulf,Lowland,4X,Cultivar,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Oklahoma,Huges,35.26,-96.18,250,Developed by KSU,Kanlow: Near Wetumka,Panicum virgatum,"NA",1957-01-01,Y
J016.E,IHZE,Gulf,Gulf,Lowland,4X,Cultivar,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Oklahoma,Huges,35.26,-96.18,250,Developed by KSU,Kanlow: Near Wetumka,Panicum virgatum,"NA",1957-01-01,Y
J018.A,IEXI,Gulf,Gulf,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,Arkansas,White,35.426748,-91.83681,106,"NA",Pangburn,Panicum virgatum,"NA",NA,Y
J018.B,IHZP,Gulf,Gulf,Lowland,4X,Natural Collection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Arkansas,White,35.426748,-91.83681,106,"NA",Pangburn,Panicum virgatum,"NA",NA,Y
J018.C,IHWN,Gulf,Gulf,Lowland,4X,Natural Collection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Arkansas,White,35.426748,-91.83681,106,"NA",Pangburn,Panicum virgatum,"NA",NA,Y
J019.A,IELE,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,Florida,Indian River,27.748362,-80.436163,4,"NA","Wabasso, Indian River County.",Panicum virgatum,"NA",NA,Y
J022.A,IEXM,Gulf,Gulf,Lowland,4X,Cultivar,Grown from GRIN Seed Packet In Austin,T. Juenger,Texas,Live Oak ,28.3325,-98.117505,48,"NA","George West, TX",Panicum virgatum,"NA",1977-09-29,Y
J022.B,IHZZ,Gulf,Gulf,Lowland,4X,Cultivar,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Texas,Live Oak ,28.3325,-98.117505,48,"NA","George West, TX",Panicum virgatum,"NA",1977-09-29,Y
J022.C,IHWS,Gulf,Gulf,Lowland,4X,Cultivar,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Texas,Live Oak ,28.3325,-98.117505,48,"NA","George West, TX",Panicum virgatum,"NA",1977-09-29,Y
J022.D,IHXL,Gulf,Gulf,Lowland,4X,Cultivar,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Texas,Live Oak ,28.3325,-98.117505,48,"NA","George West, TX",Panicum virgatum,"NA",1977-09-29,Y
J026.A,IELH,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,North Carolina,New Hanover,34.225726,-77.94471,11,"NA","Wilmington, North Carolina",Panicum virgatum,"NA",NA,Y
J026.B,IHZJ,Atlantic,Atlantic,Coastal,4X,Natural Collection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,North Carolina,New Hanover,34.225726,-77.94471,11,"NA","Wilmington, North Carolina",Panicum virgatum,"NA",NA,Y
J026.C,IIAD,Atlantic,Atlantic,Lowland,4X,Natural Collection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,North Carolina,New Hanover,34.225726,-77.94471,11,"NA","Wilmington, North Carolina",Panicum virgatum,"NA",NA,Y
J027.A,IGPA,Atlantic,Atlantic,Unknown,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,North Carolina,New Hanover,34.225725,-77.94471,NA,GPS estimated using passport data,"NA",Panicum virgatum,"NA",1983-01-01,Y
J027.B,IGPT,Gulf,Gulf,Lowland,4X,Natural Collection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,North Carolina,New Hanover,34.225725,-77.94471,NA,GPS estimated using passport data,"NA",Panicum virgatum,"NA",1983-01-01,Y
J029.B,IGQY,Midwest,Midwest,Upland,4X,Natural Collection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,New Jersey,Cumberland,39.222976,-74.992585,3,"NA","Heislerville, New Jersey",Panicum virgatum,"NA",NA,Y
J030.C,IHYN,Gulf,Gulf,Lowland,4X,Natural Collection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Colorado,Kiowa,38.480562,-102.781863,1286,"NA","Eads, Colorado",Panicum virgatum,"NA",NA,Y
J036.A,IELJ,Midwest,Midwest,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,South Dakota,Hand ,44.520755,-99.200387,525,"NA","Hand County, North Dakota",Panicum virgatum,"NA",1955-05-01,Y
J037.A,IELK,Midwest,Midwest,Upland,4X,Cultivar,Grown from GRIN Seed Packet In Austin,T. Juenger,South Dakota,Hand ,46.388289,-100.98355,NA,Cultivar Origin,Dacotah,Panicum virgatum,"NA",1990-02-20,Y
J041.A,IELL,Gulf,Gulf,Lowland,4X,Cultivar,Grown from GRIN Seed Packet In Austin,T. Juenger,Texas,Live Oak ,28.3325,-98.117505,48,"NA","George West, TX",Panicum virgatum,"NA",2004-11-26,Y
J169.A,IGPP,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Kings,40.678178,-73.944158,18,"NA",Kings County. Major Land Resource Area 149B.,Panicum virgatum,"NA",2001-09-01,Y
J170.A,AOSTU,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,40.984878,-72.615117,1,"NA","Access road to Smith Point Park Marina, Suffolk County. Major Land Resource Area 149B",Panicum virgatum,Maritime and interior woodland on sand. Soil Series and Texture: sand dredge material,2007-10-03,Y
J171.A,IELP,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Suffolk,40.984878,-72.615117,1,"NA","East of Smith Point Marina parking lot, Smith Point Marina south side, Suffolk County. Major Land Resource Area 149B.",Panicum virgatum,Soil Series and Texture: sand dredge material.,2007-10-03,Y
J172.A,IELQ,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Richmond,40.57583333,-74.15805556,18,"NA","Southwest LaTourette Road, Richmond County. Major Land Resource Area 144A.",Panicum virgatum,"A wet site, meadow, with some exposeed bedrock. Soil Series and Texture: clay loam",2006-09-20,Y
J173.A,IEXW,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Richmond,40.62472222,-74.17888889,2,"NA","Gulf Avenue Southwest to Fasset Avenue, Richmond County. Major Land Resource Area 144A.",Panicum virgatum,"Very polluted, trashy area with marginal soil, roadside. Soil Series and Texture: clay loam, urban rubble",2006-09-22,Y
J175.A,IEXY,Atlantic,Atlantic,Upland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,New York,Richmond,40.60166667,-74.06916667,39,"NA","Elb Pond Park, Richmond County. Major Land Resource Area 144A.",Panicum virgatum,"NA",2006-10-05,Y
J177.A,IGRC,Gulf,Gulf,Lowland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,Florida,Duval,30.43694444,-81.41333333,3,"NA","Collected at site previously documented by Natural Resources Conservation Service, Brooksville Plant Material Center (coll. number 9060538). 1.5 miles S on entrance road to Little Talbolt Island State Park on west side of road, Duval County",Panicum virgatum,"Sandy soil; full sun, 1% slope. Site: Far back dune area. Vegetation: wax myrtle, sea oats, bluestems, sand spurs, muhly, spartina, cactus.",2009-09-12,Y
J180.A,IGRW,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,Florida,Volusia,29.365,-81.08472222,0,"NA","Tomoka State Park, Volusia County",Panicum virgatum,"Sandy soil; full sun, % slope. Site: alongside road; intercoastal swamp area. Vegetation: wax myrtles, palmettos, cypress, dactylis, seashore paspalum, reeds, Stenotaphrum.",2009-09-13,Y
J181.A,IEYF,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,Florida,Volusia,29.095,-80.97083333,1,"NA","US 1 on east side of road, Volusia County",Panicum virgatum,"Sandy soil; partial shade. Site: Alongside road between ditch and wood line. Vegetation: saw palmettos, pines, oaks, wax myrtles, nutsedge.",2009-09-14,Y
J182.A,IGNI,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,Florida,Seminole,28.77888889,-81.16583333,4,"NA","Collected at site previously documented by Natural Resources Conservation Service, Brooksville Plant Material Center (collection number 9060560). 4 miles west on CR 46 from CR 426 on both sides of road, Seminole County",Panicum virgatum,"Sandy soil; partial shade, 2% slope. Site: Between wood line and ditch; weedy site. Vegetation: pines, palms, palmettos, muscadine, dog fennel.",2009-09-14,Y
J185.A,IEYG,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,Florida,Dixie,29.69416667,-83.27694444,11,"NA","US 19 between Cross City and Perry on east side of road, Dixie County",Panicum virgatum,"Sandy soil; full sun, % slope. Site: Along right of way by wood line. Vegetation: pines, wax myrtles, maidencane, goldenrod, saw palmettos, gamagrass, bluestem, paspalums.",2009-09-15,Y
